R,G,B
94.53997446,103.2601186,65.82401734
83.11937642,86.86395623,58.81565246
110.0886649,110.0786852,96.0004775
82.20422179,83.15282487,78.17493672
84.84533313,88.72678894,83.18676583
101.2780799,100.6554269,78.08673656
85.62416836,86.79346809,75.57312099
97.08150295,118.5413161,121.2458307
130.8913047,143.2858314,144.2670405
101.2613188,123.19954,105.5527583
91.23822693,94.34150058,76.04749742
90.36370214,100.9058697,88.13354297
77.36786394,86.61836611,75.73416852
89.9836875,103.6077748,71.69211894
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
118.8931464,116.3155106,105.2116336
121.9948608,129.384677,97.72831665
111.9045816,112.2426825,102.5360637
108.9305212,110.5407439,94.81784404
93.31686697,92.42704304,83.27262319
104.5436322,104.4174871,100.1520579
105.3371171,122.8814282,73.94733171
102.6151919,117.9030855,114.2700886
100.8717368,118.3887189,126.7047957
82.42837509,84.09995081,74.49641224
106.0603163,112.2214251,92.94868581
136.959657,139.9438074,136.6940285
114.2562125,117.1378674,118.0424804
100.5554821,106.3290689,92.33264165
97.9735431,110.9292833,82.1129972
103.3124348,121.2084032,138.1425006
117.2354893,126.7973101,95.51696256
111.4051841,124.6880179,131.7002721
93.47128909,102.5078975,79.38101416
120.6934735,132.9558519,123.9124347
134.8276415,125.509961,109.2622631
115.1675432,108.4431554,96.52613661
149.8861143,149.4969113,118.1460478
136.4999348,120.9968429,88.05773993
126.5094182,119.6309779,102.2782546
119.2047346,131.7446042,146.2227145
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
118.8931464,116.3155106,105.2116336
121.9948608,129.384677,97.72831665
111.9045816,112.2426825,102.5360637
108.9305212,110.5407439,94.81784404
93.31686697,92.42704304,83.27262319
104.5436322,104.4174871,100.1520579
105.3371171,122.8814282,73.94733171
102.6151919,117.9030855,114.2700886
100.8717368,118.3887189,126.7047957
82.42837509,84.09995081,74.49641224
106.0603163,112.2214251,92.94868581
136.959657,139.9438074,136.6940285
114.2562125,117.1378674,118.0424804
100.5554821,106.3290689,92.33264165
97.9735431,110.9292833,82.1129972
103.3124348,121.2084032,138.1425006
117.2354893,126.7973101,95.51696256
111.4051841,124.6880179,131.7002721
93.47128909,102.5078975,79.38101416
120.6934735,132.9558519,123.9124347
134.8276415,125.509961,109.2622631
115.1675432,108.4431554,96.52613661
149.8861143,149.4969113,118.1460478
136.4999348,120.9968429,88.05773993
126.5094182,119.6309779,102.2782546
131.3840063,109.7364906,111.3892568
147.7774032,152.5405054,145.813655
135.4732258,136.201989,127.9039194
123.3025419,113.9137965,111.0226198
81.8659212,106.4408768,114.9399972
107.3896548,91.21868259,95.57665691
133.7799257,147.2084939,98.90181902
117.4836034,121.7133901,122.4116628
116.4053134,119.559448,96.09839242
124.4716242,131.303017,140.7026233
86.70695095,87.93081015,77.30994701
174.2725723,174.8304013,172.8888126
134.7508122,138.6190121,142.8481736
131.1057316,127.0935924,103.6195157
96.503097,109.7953695,84.40626616
100.0004431,121.2034026,97.28303656
78.58273446,90.31508569,81.87043373
97.08150295,118.5413161,121.2458307
130.8913047,143.2858314,144.2670405
101.2613188,123.19954,105.5527583
91.23822693,94.34150058,76.04749742
90.36370214,100.9058697,88.13354297
77.36786394,86.61836611,75.73416852
89.9836875,103.6077748,71.69211894
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
118.8931464,116.3155106,105.2116336
121.9948608,129.384677,97.72831665
114.2562125,117.1378674,118.0424804
93.47128909,102.5078975,79.38101416
120.6934735,132.9558519,123.9124347
134.8276415,125.509961,109.2622631
115.1675432,108.4431554,96.52613661
149.8861143,149.4969113,118.1460478
136.4999348,120.9968429,88.05773993
126.5094182,119.6309779,102.2782546
0,0,0
100.616016,101.5224158,84.93900825
141.0733805,120.3234331,88.27043396
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
128.0002952,126.921585,123.1832132
119.7258328,132.2695117,113.5565229
118.799481,120.7125066,108.8906877
125.3192756,134.8336861,92.38018593
122.6718853,114.8276249,89.22928088
112.6228919,123.1844407,80.99319019
113.6122731,113.8496959,102.6977984
134.1899579,145.0598407,159.0295177
144.5484156,144.6355375,127.3503049
115.9526966,114.4422008,109.9328315
98.83555834,98.00028465,130.1799835
114.7721456,122.3454373,125.8396951
115.3208625,127.0992969,93.74482167
131.3858347,133.0129128,99.62113414
130.06113,139.6469121,140.3362904
0,0,0
0,0,0
0,0,0
118.8931464,116.3155106,105.2116336
121.9948608,129.384677,97.72831665
114.2562125,117.1378674,118.0424804
93.47128909,102.5078975,79.38101416
120.6934735,132.9558519,123.9124347
134.8276415,125.509961,109.2622631
115.1675432,108.4431554,96.52613661
149.8861143,149.4969113,118.1460478
136.4999348,120.9968429,88.05773993
126.5094182,119.6309779,102.2782546
121.9948608,129.384677,97.72831665
116.6289156,115.9137132,109.999474
116.496665,125.6586463,78.00408105
133.9052394,132.2319185,128.1767278
130.1037955,134.1263474,108.264524
137.2424737,107.9002551,63.1741096
94.58843701,91.17089642,85.99172885
120.940838,142.1945471,89.63694579
131.5428084,123.9303595,122.8632449
140.5492446,180.5397855,84.95008897
122.7972492,130.0523623,105.4197224
108.1729036,116.6309104,91.09274411
142.010424,143.0567681,139.805143
105.6147772,107.8334484,99.24166029
108.4995363,97.5073074,62.7453336
126.7900857,128.2915792,114.8491659
117.6545055,119.8273136,102.7958442
84.13753198,85.97463896,59.85358255
130.0019901,134.8146052,124.0541231
157.5430896,161.0555341,147.3104522
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
124.9849336,133.9088267,76.80902493
151.2401961,137.7185728,126.1297849
113.2064896,119.218108,84.63764395
120.6893839,114.6236321,106.2533765
133.8516889,141.7130858,111.6042283
139.4751701,154.5335916,71.04262767
123.700392,140.0460778,80.35322997
106.1643908,128.427596,71.31025171
104.087305,120.4598194,83.13307265
121.7775301,150.8415135,77.8544456
0,0,0
100.616016,101.5224158,84.93900825
141.0733805,120.3234331,88.27043396
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
107.3099755,103.2451326,84.80818143
123.0154765,118.0432677,111.4394232
151.5614462,135.2792062,130.3604066
120.3307023,121.622699,88.88487758
157.1127823,149.4171346,134.4811288
94.18956073,99.82157982,101.0293796
97.6229756,110.0163516,78.88527837
101.8081407,105.9918578,98.81835493
134.0272998,150.3249479,155.2456029
158.2899732,157.0288343,146.4797232
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
116.1417298,117.5437563,105.0083554
157.9195231,159.8576258,140.464297
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
137.0518477,150.6548589,156.1003931
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
120.8378036,124.7999044,114.6032536
112.843369,113.630249,92.58409663
138.0594434,132.7070494,94.64434203
122.1264328,124.6851851,126.4928556
116.3673881,133.0557898,77.21254374
153.5929754,161.0960403,168.2774385
123.0710568,127.7982325,116.4365437
99.51453394,99.01688603,84.99827106
124.8890241,132.5145284,112.8324019
157.2008246,171.2742635,158.6974205
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
108.2027787,100.4906661,97.68647484
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
105.04495,118.5945826,130.6827809
116.4787369,127.2930332,98.53463628
120.8378036,124.7999044,114.6032536
160.6395477,104.269152,84.82906414
99.33907913,99.8724324,99.91041449
99.57252991,99.74318066,92.45347146
107.1846583,119.2316308,90.26380178
128.2848412,124.9998718,115.4346706
133.1069012,138.5093719,147.0879851
161.6646701,164.3102285,164.5965687
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
105.04495,118.5945826,130.6827809
116.4787369,127.2930332,98.53463628
120.8378036,124.7999044,114.6032536
160.6395477,104.269152,84.82906414
99.33907913,99.8724324,99.91041449
99.57252991,99.74318066,92.45347146
107.1846583,119.2316308,90.26380178
128.2848412,124.9998718,115.4346706
133.1069012,138.5093719,147.0879851
161.6646701,164.3102285,164.5965687
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
105.04495,118.5945826,130.6827809
116.4787369,127.2930332,98.53463628
120.8378036,124.7999044,114.6032536
160.6395477,104.269152,84.82906414
99.33907913,99.8724324,99.91041449
99.57252991,99.74318066,92.45347146
107.1846583,119.2316308,90.26380178
128.2848412,124.9998718,115.4346706
133.1069012,138.5093719,147.0879851
161.6646701,164.3102285,164.5965687
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
78.06255805,79.70670148,74.18795156
116.3891903,111.3534077,109.0947579
118.679242,122.0548886,111.2353758
123.5243063,129.7248108,111.8677848
108.6976302,106.5546561,109.8134059
103.2959476,103.4036982,100.802268
110.4284578,121.7668947,120.6480182
119.1708719,127.0881188,80.36116579
138.734023,143.7698092,152.9730082
104.9537278,105.0533992,87.32590814
104.6360544,103.4927429,73.15009771
132.9274045,137.0269442,118.4553858
103.5502381,108.4036669,90.97698436
84.51894008,85.01661459,62.93836525
106.48761,107.6079182,96.12937401
106.1719041,113.5860637,90.97334869
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
